starting training
2024-06-01 00:05:09.444755: I external/local_xla/xla/service/service.cc:168] XLA service 0x7f8dc0d3e9d0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-06-01 00:05:09.445001: I external/local_xla/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA RTX A4000, Compute Capability 8.6
2024-06-01 00:05:09.468620: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:269] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1717200309.632330     297 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Episode: 177/20000, steps: 50[8850], Total reward: -2.1240696072578427[-1.9], time: 8.6s[26.5m], e: 0.9320078106967178
Episode: 178/20000, steps: 50[8900], Total reward: -6.426624035835266[-2.1], time: 8.2s[26.6m], e: 0.9316350075724391
Episode: 179/20000, steps: 50[8950], Total reward: -4.340471696853637[-2.1], time: 8.0s[26.7m], e: 0.9312623535694102
Episode: 180/20000, steps: 50[9000], Total reward: -3.0309552788734444[-2.3], time: 8.1s[26.9m], e: 0.9308898486279825
Episode: 181/20000, steps: 50[9050], Total reward: 0.13523235321044913[-2.4], time: 7.2s[27.0m], e: 0.9305174926885313
Episode: 182/20000, steps: 50[9100], Total reward: 2.276880407333375[-2.4], time: 9.0s[27.1m], e: 0.9301452856914559
Episode: 183/20000, steps: 50[9150], Total reward: -1.0685790061950682[-2.4], time: 9.0s[27.3m], e: 0.9297732275771794
Episode: 184/20000, steps: 50[9200], Total reward: -1.3087208390235912[-2.4], time: 7.9s[27.4m], e: 0.9294013182861486
Episode: 185/20000, steps: 50[9250], Total reward: 0.17398940324783302[-2.0], time: 8.1s[27.5m], e: 0.9290295577588341
Episode: 186/20000, steps: 50[9300], Total reward: -0.3458000183105466[-2.0], time: 9.0s[27.7m], e: 0.9286579459357306
Episode: 187/20000, steps: 50[9350], Total reward: -1.0806594848632813[-1.8], time: 8.3s[27.8m], e: 0.9282864827573564
